name,title,level,facing,categories,description,detail,remediation,metadata,cache_key,observed_at
pg_graphql_anon_table_exposed,Public Can See Object in GraphQL Schema,WARN,EXTERNAL,"[""SECURITY""]","Detects tables, views, materialized views, and foreign tables that are visible in the GraphQL schema to anyone using your public anon key. Revoke `SELECT` from `anon` for objects that should not be discoverable before sign-in, and check lint 0027 for the matching signed-in-user exposure.",table `public.channels` is visible in the GraphQL schema because the `anon` role can `SELECT` it. Revoke `SELECT` from `anon` if it should not be discoverable without signing in.,https://supabase.com/docs/guides/database/database-linter?lint=0026_pg_graphql_anon_table_exposed,"{""name"":""channels"",""type"":""table"",""schema"":""public""}",pg_graphql_anon_table_exposed_public_channels,2026-09-01T20:23:44.142Z
pg_graphql_authenticated_table_exposed,Signed-In Users Can See Object in GraphQL Schema,WARN,EXTERNAL,"[""SECURITY""]","Detects tables, views, materialized views, and foreign tables that are visible in the GraphQL schema to signed-in users. Revoke `SELECT` from `authenticated` for objects that signed-in users should not discover, and check lint 0026 for the matching public exposure.",table `public.channels` is visible in the GraphQL schema to signed-in users because the `authenticated` role can `SELECT` it. Revoke `SELECT` from `authenticated` if it should not be discoverable to every account.,https://supabase.com/docs/guides/database/database-linter?lint=0027_pg_graphql_authenticated_table_exposed,"{""name"":""channels"",""type"":""table"",""schema"":""public""}",pg_graphql_authenticated_table_exposed_public_channels,2026-09-01T20:23:44.142Z
